SYMBOL	FC
Gm9920	1.683391104
Enkur	1.680834686
NA	1.680115313
Spata32	1.680076497
Padi1	1.679762751
Btbd8	1.679643852
Ly6c2	1.677449683
Gm10536	1.675453075
Krt35	1.674902854
Gm10432	1.673943429
Tex11	1.668420916
Gm4994	1.662953307
Zfp457	1.657884439
Zfp947	1.652695539
Dhrs9	1.651525425
Mitf	1.650559491
Eppk1	1.646554852
9530053A07Rik	1.646503697
Cdkl2	1.643543196
Gas2l2	1.640266966
Pirt	1.639493765
Wnt8a	1.638695346
Cmklr1	1.637604932
Gsn	1.63431893
Mogat1	1.633129566
Tnfrsf8	1.630697469
4833422C13Rik	1.628575652
Gm2366	1.627073846
Gm16201	1.627062842
Adamtsl1	1.626712641
Rbpjl	1.626284615
1700025M24Rik	1.619845553
Tctex1d4	1.619633289
Tmem139	1.617919726
Olfr457	1.617781129
Gm20083	1.617781129
6720468P15Rik	1.617728922
Lgals1	1.617312538
Mxra8	1.616313719
Daw1	1.61360618
Gphb5	1.610441576
Zfp707	1.609285834
Stard4	1.608945991
Iqsec3	1.608752808
Syt2	1.60674382
Pdp2	1.605220073
Mir191	1.603731198
Slfn3	1.602785111
Prph2	1.602647088
Lalba	1.601672627
Foxd2	1.600795512
Aldh3b2	1.600505703
Gm15713	1.599971412
Mir194-2	1.599665069
B930025P03Rik	1.598071296
Thnsl1	1.59618324
Padi6	1.594455001
9330179D12Rik	1.594091221
Ttyh1	1.593509692
Tmem88b	1.593063224
Chst9	1.591691833
F11	1.59132557
Asphd1	1.58979447
1700028I16Rik	1.589200293
Gm11738	1.588354506
Pamr1	1.588164217
Cldn34c2	1.587814922
Guca2a	1.586362287
B430010I23Rik	1.586242611
Cdh17	1.583596772
Gm3020	1.582893939
Mir27a	1.581026469
Gm1604a	1.580366216
Mt4	1.579783873
Trim43a	1.579781492
Gm3952	1.578401988
Hmcn1	1.577442447
Adamts6	1.57664872
5033406O09Rik	1.57456419
Upk2	1.574350094
D730045A05Rik	1.573249619
H1f5	1.572598865
Sstr4	1.57132983
Tspo2	1.569603421
A630095N17Rik	1.569314414
Gm5953	1.568031946
Tnnt3	1.567539363
Hoxb5	1.567345885
Gm10636	1.566698306
Tktl1	1.566560243
Abcc2	1.566398452
NA	1.565226581
Gm19792	1.564105889
Lrrc10	1.563758014
Olfr91	1.563667508
Fcna	1.563647938
Odam	1.563595814
Gprin1	1.563548568
Gm4825	1.563424965
Erich5	1.56268055
Map1a	1.561128321
Gm9899	1.559368926
Atp4a	1.559334299
Ppp1r14c	1.557134441
Txndc2	1.555889203
Fam57b	1.554532268
Azin2	1.554454573
Scrg1	1.55423583
Rgr	1.551475658
5730522E02Rik	1.551223277
9530051G07Rik	1.551159517
Robo3	1.550902734
Hectd2os	1.550203187
NA	1.547980616
1700104B16Rik	1.54660786
NA	1.545438635
Ankrd60	1.544197171
1700086P04Rik	1.543690429
Egf	1.543005921
Fezf2	1.540440157
Uts2b	1.540159691
Apoa5	1.539182817
Gm8579	1.536175072
Slc25a54	1.534614182
Hcar1	1.534374914
Fam102b	1.532709585
Nipal2	1.532332709
Ldhal6b	1.530478045
Filip1l	1.530327736
Peli3	1.529690899
Cpxm2	1.528435521
