SYMBOL,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Gm8883,0,0,0,0,0,0,0,0,0,0,0,0
4933417E11Rik,0,0,0,0,0,0,1,0,0,0,0,0
Gm5528,3,3,3,4,4,1,2,5,2,1,0,3
Mreg,578,660,427,299,250,232,51,49,50,26,14,12
Pecr,303,218,279,267,122,159,196,152,237,207,225,200
Tmem169,7,9,13,11,16,24,0,0,0,0,0,0
Xrcc5,1201,1178,1235,1172,976,932,558,521,418,434,416,380
March4,26,29,17,13,23,32,0,0,1,2,0,0
Smarcal1,700,576,677,607,632,679,471,415,268,267,204,218
Ankar,0,0,1,0,1,1,0,1,0,0,0,0
Rpl37a,221,224,249,181,127,131,296,289,203,190,87,96
Igfbp2,6145,3737,28282,28554,26047,24688,17,21,51,57,23,25
Igfbp5,87765,97798,106228,55364,39195,41658,55835,53177,21269,26327,8875,9295
Tnp1,0,0,0,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,1,1,0,1,0,0,0,0,0,0
Pinc,64,83,101,87,93,79,107,121,114,157,221,219
D530049I02Rik,5,5,12,14,5,6,5,7,8,13,16,19
6030407O03Rik,2,4,4,2,1,0,0,0,1,0,0,0
